CourseID,CareerTags,CourseKeywords,CourseName,Credits,MajorID
CYB621,"[""CISO"",""Compliance Officer"",""Information Security Manager"",""Risk Manager""]","[""disaster recovery"",""information security policy"",""legal compliance"",""risk prioritization"",""security strategy""]",Information Security Management,3,3
ECO653,"[""Business Analyst"",""Data Analyst"",""Economist"",""Financial Analyst""]","[""Granger causality"",""econometrics"",""forecasting"",""panel data analysis"",""regression analysis"",""time series"",""vector autoregression"",""volatility models""]",Empirical Methods for Business Economic Analysis,3,2
CS660,"[""Data Scientist"",""Machine Learning Engineer"",""Quantitative Analyst"",""Research Scientist""]","[""analytic geometry"",""linear algebra"",""linear regression"",""matrix decomposition"",""optimization"",""principal component analysis"",""probability theory"",""vector calculus""]",Mathematical Foundations of Analytics,3,2
CS608,"[""Algorithm Engineer"",""Backend Engineer"",""Research Engineer"",""Software Engineer"",""Systems Engineer""]","[""algorithms"",""automata theory"",""complexity theory"",""computability"",""data structures"",""divide and conquer"",""graph algorithms"",""hashing"",""searching"",""sorting""]",Algorithms and Computer Theory,3,1
IS685,"[""AI Ethics Consultant"",""AI Policy Analyst"",""AI Product Manager"",""Compliance Officer""]","[""AI ethics"",""AI governance"",""algorithmic fairness"",""bias in AI"",""legal frameworks"",""responsible AI"",""societal impact""]",Ethical Issues in Artificial Intelligence,3,5
IT664,"[""Cybersecurity Analyst"",""Digital Forensics Investigator"",""Incident Responder"",""Law Enforcement Analyst""]","[""computer forensics"",""data recovery"",""digital evidence"",""information warfare"",""legal issues"",""network surveillance""]",Computer and Internet Forensics,3,3
SE675,"[""Business Analyst"",""Requirements Engineer"",""Software Engineer"",""Systems Analyst""]","[""requirements analysis"",""requirements elicitation"",""requirements engineering"",""software specifications"",""stakeholder analysis""]",Requirements Engineering,3,4
SE751,"[""QA Engineer"",""Quality Assurance Analyst"",""Software Engineer"",""Software Test Engineer""]","[""black box testing"",""model checking"",""software testing"",""theorem proving"",""unit testing"",""validation"",""verification"",""white box testing""]",Software Validation & Verification Techniques,3,4
IS647,"[""Compliance Officer"",""IT Legal Consultant"",""Risk Manager"",""Security Analyst""]","[""IT compliance"",""business ethics"",""international law"",""internet regulation"",""litigation avoidance"",""technology law""]",Legal Issues in Information Technology,3,3
SE679,"[""Project Manager"",""Research Scientist"",""Software Architect"",""Software Engineer""]","[""project management"",""quality assurance"",""risk management"",""software design"",""software engineering research"",""software metrics""]",Contemporary Software Engineering Theory and Practice,3,4
SE673,"[""Application Developer"",""Software Architect"",""Software Engineer"",""Systems Designer""]","[""UML"",""design patterns"",""incremental development"",""object-oriented design"",""object-oriented frameworks"",""software architecture""]",Software Design Methodologies,3,4
CS641,"[""Frontend Engineer"",""Full Stack Engineer"",""Mobile Developer"",""Software Engineer"",""UX Engineer""]","[""AJAX"",""CSS"",""HTML5"",""mobile applications"",""mobile web development"",""quality assurance"",""user-centered design"",""web analytics""]",Mobile Web Content and Development,3,1
CS617,"[""AR/VR Engineer"",""Game Developer"",""Graphics Engineer"",""Simulation Engineer"",""Software Engineer""]","[""3D graphics"",""3D modeling"",""animation"",""collision detection"",""computer graphics"",""game programming"",""real-time applications"",""rendering""]",Game Programming,3,1
CS691,"[""Backend Engineer"",""Full Stack Engineer"",""Project Engineer"",""Software Engineer"",""Systems Engineer""]","[""application development"",""project management"",""software design"",""software development"",""software engineering"",""system implementation"",""technical documentation""]",Computer Science Project 1,3,1
CS673,"[""Big Data Engineer"",""Data Engineer"",""Data Scientist"",""Database Administrator""]","[""Cassandra"",""HBase"",""Hadoop"",""MapReduce"",""Neo4j"",""NoSQL"",""big data"",""distributed databases"",""graph databases""]",Scalable Databases,3,2
CS661,"[""AI Engineer"",""Data Engineer"",""Data Scientist"",""Machine Learning Engineer"",""Software Engineer""]","[""NumPy"",""Pandas"",""Python programming"",""data analytics"",""data cleaning"",""exploratory data analysis"",""machine learning"",""predictive modeling""]",Python Programming,3,1
CS604,"[""Backend Engineer"",""Cloud Engineer"",""Operating Systems Engineer"",""Software Engineer"",""Systems Engineer""]","[""compilers"",""computer architecture"",""computer organization"",""computer systems"",""low level programming"",""memory systems"",""operating systems"",""processor architecture"",""programming languages"",""system design""]",Computer Systems and Concepts,3,1
CS624,"["".NET Developer"",""Backend Engineer"",""Full Stack Engineer"",""Software Engineer"",""Web Application Developer""]","["".NET framework"",""ASP.NET"",""C# programming"",""database programming"",""multithreading"",""object-oriented programming"",""web services""]",Application Development with .NET and Web Services,3,1
IS689,"[""AI Product Manager"",""Cognitive Scientist"",""Human-Computer Interaction Specialist"",""UX Designer""]","[""human-AI interaction"",""human-centered AI"",""interface design"",""trust in AI"",""usability"",""user experience""]",Human-AI Interaction,3,5
IS613,"[""Data Analyst"",""Database Administrator"",""Software Engineer"",""Systems Analyst""]","[""ERD"",""SQL"",""database administration"",""database management"",""normalization"",""relational model""]",Database Management Systems,3,3
CS667,"[""Analytics Consultant"",""Business Intelligence Analyst"",""Data Analyst"",""Data Scientist""]","[""analytics discussion"",""career preparation"",""data science communication"",""stakeholder presentation"",""technical writing""]",Practical Data Science,3,2
IS632,"[""IT Specialist"",""Network Administrator"",""Systems Analyst"",""Telecommunications Specialist""]","[""LAN"",""WAN"",""application design"",""data communications"",""network management"",""networking protocols"",""telecommunications software""]",Business Data Communications,3,3
IS683,"[""AI Engineer"",""Data Engineer"",""Data Scientist"",""Machine Learning Engineer""]","[""AI infrastructure"",""ETL"",""data engineering"",""data pipelines"",""data preprocessing"",""feature engineering""]",Data Engineering for AI,3,5
SE725,"[""Enterprise Application Developer"",""Java Developer"",""Software Engineer"",""Systems Integrator""]","[""JDBC"",""JSP"",""Swing"",""component architecture"",""database connectivity"",""enterprise JavaBeans"",""servlets""]",Component Architectures for Enterprise Application Development,3,4
CS655,"[""AI Researcher"",""Computer Vision Engineer"",""Data Scientist"",""Machine Learning Engineer""]","[""artificial neural networks"",""clustering"",""decision trees"",""feature extraction"",""image analysis"",""nearest neighbor"",""pattern recognition""]",Pattern Recognition,3,5
CS671,"[""AI Engineer"",""Computer Vision Engineer"",""Machine Learning Engineer"",""Robotics Engineer""]","[""Fourier transform"",""Matlab"",""digital image processing"",""enhancement"",""filtering"",""image processing"",""morphology"",""segmentation""]",Computer Vision,3,5
CS619,"[""Business Intelligence Analyst"",""Data Analyst"",""Data Scientist"",""Machine Learning Engineer""]","[""association rules"",""clustering"",""data mining"",""feature selection"",""genetic algorithms"",""knowledge discovery"",""neural networks"",""pattern classification""]",Data Mining,3,2
