OfferedID,Capacity,CourseID,CurrentlyEnrolled,EndTime,InstructionalMethod,Instructor,MeetingDay,SectionID,SemesterID,StartTime
5032,30,CS624,20,0:00,Online,Mr. Lee,Asynchronous,2,Spring2025,0:00
5033,20,CS691,12,00:00,Online,Mrs. Robinson,Asynchronous,1,Spring2025,00:00
5034,30,CS608,0,00:00,Online,Dr. Wilson,Asynchronous,1,Spring2026,00:00
5035,45,CS617,0,00:00,Online,Dr. Khan,Asynchronous,1,Spring2026,00:00
5036,45,CS617,0,00:00,Online,Dr. Smith,Asynchronous,2,Spring2026,00:00
5037,40,CS641,0,0:00,Online,Mr. Yadav,Asynchronous,1,Spring2026,0:00
5038,30,CS661,0,17:00,Online,Dr. Davis,Monday,1,Spring2026,19:00
5039,20,CS691,0,00:00,Online,Dr. Mart,Asynchronous,1,Spring2026,00:00
5040,20,CS691,0,00:00,Online,Mrs. Robinson,Asynchronous,2,Spring2026,00:00
5041,30,CS604,0,0:00,Online,Dr. Yung,Asynchronous,1,Spring2027,0:00
5042,30,CS624,0,17:00,In Person,Ms. Cruz,Wednesday,1,Spring2027,19:30
5043,40,CS641,0,0:00,Online,Mr. Yadav,Asynchronous,2,Spring2027,0:00
5044,40,CS641,0,14:30,Online,Mr. Wang,"[""Friday"",""Wednesday""]",1,Spring2027,12:00
5045,30,CS672,0,20:30,Hybrid,Dr. Fernandez,Wednesday,1,Spring2027,18:00
5046,20,CS691,0,00:00,Online,Dr. Mart,Asynchronous,1,Spring2027,00:00
5047,30,CS608,0,00:00,Online,Mr. Khon,Asynchronous,1,Spring2028,00:00
5048,30,CS608,0,00:00,Online,Dr. Wilson,Asynchronous,2,Spring2028,00:00
5049,45,CS617,0,00:00,Online,Dr. Khan,Asynchronous,1,Spring2028,00:00
5050,45,CS617,0,00:00,Online,Dr. Smith,Asynchronous,2,Spring2028,00:00
5051,30,CS661,0,00:00,Online,Ms. Patel,Asynchronous,1,Spring2028,00:00
5052,30,CS661,0,17:00,Online,Dr. Davis,Monday,2,Spring2028,19:00
5053,20,CS691,0,00:00,Online,Dr. Mart,Asynchronous,1,Spring2028,00:00
5054,30,CS671,0,00:00,Online,Mr. Osei,Asynchronous,1,Spring2028,00:00
5055,30,IS679,21,16:45,Online,Dr. Bennett,"[""Thursday"",""Tuesday""]",1,Spring2025,15:00
5056,30,IS679,20,00:00,Online,Ms. Ferreira,Asynchronous,1,Spring2026,00:00
5057,30,IS679,25,00:00,Online,Dr. Mendez,Asynchronous,2,Spring2026,00:00
5058,30,IS679,18,00:00,Online,Dr. Bennett,Asynchronous,1,Fall2026,00:00
5059,30,IS679,24,00:00,Online,Dr. Mendez,Asynchronous,2,Fall2026,00:00
5060,30,IS679,0,20:30,Online,Ms. Ferreira,Monday,1,Spring2027,18:00
5061,30,IS679,0,00:00,Online,Dr. Mendez,Asynchronous,2,Spring2027,00:00
5062,30,IS679,0,00:00,Online,Ms. Ferreira,Asynchronous,1,Spring2028,00:00
5063,30,IS614,20,20:00,Hybrid,Mr. Prescott,Tuesday,1,Fall2024,17:30
5064,30,IS614,13,20:30,Hybrid,Dr. Cole,Monday,1,Spring2025,18:00
5065,30,IS614,22,14:30,Online,Dr. Cole,"[""Friday"",""Wednesday""]",1,Spring2026,12:00
5066,30,IS614,7,00:00,Online,Dr. Cole,Asynchronous,2,Spring2026,00:00
5067,30,IS614,27,00:00,Online,Mr. Prescott,Asynchronous,1,Fall2026,00:00
5068,30,IS614,0,14:30,Online,Dr. Cole,"[""Friday"",""Wednesday""]",1,Spring2027,12:00
5069,30,IS614,0,00:00,Online,Mr. Prescott,Asynchronous,1,Spring2028,00:00
5070,30,IS614,0,00:00,Online,Dr. Cole,Asynchronous,2,Spring2028,00:00
5071,30,IS685,18,00:00,Online,Mr. Callahan,Asynchronous,1,Fall2024,00:00
5072,30,IS685,16,17:00,In Person,Dr. Lindqvist,Wednesday,2,Fall2024,19:30
5073,30,IS685,12,00:00,Online,Mr. Callahan,Asynchronous,1,Spring2025,00:00
5074,30,IS685,15,00:00,Online,Mrs. Novak,Asynchronous,2,Spring2025,00:00
5075,30,IS685,11,20:30,Online,Ms. Alvarado,Monday,1,Fall2025,18:00
5076,30,IS685,8,00:00,Online,Mr. Callahan,Asynchronous,1,Spring2026,00:00
5077,30,IS685,8,00:00,Online,Mr. Callahan,Asynchronous,1,Spring2026,00:00
5078,30,IS685,0,00:00,Online,Mr. Callahan,Asynchronous,1,Fall2027,00:00
5079,30,IS685,0,00:00,Online,Mrs. Novak,Asynchronous,2,Fall2027,00:00
5080,30,IS685,0,00:00,Online,Ms. Alvarado,Asynchronous,1,Spring2028,00:00
5081,30,IS685,0,17:00,In Person,Dr. Lindqvist,Wednesday,2,Spring2028,19:30
5082,30,IS689,23,20:30,Online,Dr. Mendez,Monday,1,Fall2024,18:00
5083,30,IS689,19,00:00,Online,Dr. Delgado,Asynchronous,2,Fall2024,00:00
5084,30,IS689,20,14:30,In Person,Mr. Harmon,Wednesday,1,Spring2025,12:00
5085,30,IS689,7,00:00,Online,Mr. Harmon,Asynchronous,1,Spring2026,00:00
5086,30,IS689,9,14:30,Online,Dr. Mendez,"[""Friday"",""Wednesday""]",1,Fall2026,12:00
5087,30,IS689,7,20:30,Hybrid,Dr. Delgado,Monday,2,Fall2026,18:00
5088,30,IS689,0,00:00,Online,Mr. Harmon,Asynchronous,1,Fall2027,00:00
5089,30,IS689,0,16:45,Online,Dr. Adeyemi,"[""Thursday"",""Tuesday""]",2,Fall2027,15:00
5090,30,IS689,0,00:00,Online,Mr. Harmon,Asynchronous,1,Spring2028,00:00
5091,30,IS689,0,00:00,Online,Dr. Delgado,Asynchronous,2,Spring2028,00:00
5092,30,IS683,29,16:45,Online,Mr. Callahan,"[""Thursday"",""Tuesday""]",1,Fall2024,15:00
5093,30,IS683,13,00:00,Online,Mr. Prescott,Asynchronous,2,Fall2024,00:00
5094,30,IS683,22,00:00,Online,Mr. Callahan,Asynchronous,1,Spring2025,00:00
5095,30,IS683,18,00:00,Online,Mr. Prescott,Asynchronous,2,Spring2025,00:00
5096,30,IS683,6,16:45,Online,Ms. Alvarado,"[""Thursday"",""Tuesday""]",1,Fall2025,15:00
5097,30,IS683,7,14:30,Online,Ms. Alvarado,"[""Friday"",""Wednesday""]",1,Spring2026,12:00
5098,30,IS683,0,20:30,Hybrid,Mr. Callahan,Wednesday,1,Spring2027,18:00
5099,30,IS683,0,00:00,Online,Mr. Prescott,Asynchronous,2,Spring2027,00:00
5100,30,IS683,0,20:30,Hybrid,Mr. Callahan,Wednesday,1,Fall2027,18:00
5101,30,IS683,0,00:00,Online,Mr. Prescott,Asynchronous,2,Fall2027,00:00
5102,30,CS655,19,20:30,Online,Ms. Larkin,Monday,1,Fall2024,18:00
5103,30,CS655,27,00:00,Online,Dr. Okafor,Asynchronous,2,Fall2024,00:00
5104,30,CS655,19,00:00,Online,Ms. Larkin,Asynchronous,1,Spring2025,00:00
5105,30,CS655,28,00:00,Online,Ms. Larkin,Asynchronous,1,Fall2025,00:00
5106,30,CS655,12,00:00,Online,Dr. Bianchi,Asynchronous,1,Spring2026,00:00
5107,30,CS655,0,20:00,Hybrid,Dr. Bianchi,Tuesday,1,Spring2027,17:30
5108,30,CS655,0,17:00,In Person,Dr. Okafor,Wednesday,2,Spring2027,19:30
5109,30,CS655,0,20:30,Hybrid,Dr. Bianchi,Monday,1,Fall2027,18:00
5110,30,CS655,0,00:00,Online,Dr. Okafor,Asynchronous,2,Fall2027,00:00
5111,30,CS671,7,00:00,Online,Mr. Osei,Asynchronous,1,Fall2024,00:00
5112,30,CS671,15,00:00,Online,Dr. Reyes,Asynchronous,2,Fall2024,00:00
5113,30,CS671,15,00:00,Online,Mr. Harmon,Asynchronous,1,Fall2025,00:00
5114,30,CS671,29,20:30,Online,Mr. Osei,Monday,1,Spring2026,18:00
5115,30,CS671,0,00:00,Online,Mr. Osei,Asynchronous,1,Spring2027,00:00
5116,30,CS671,0,00:00,Online,Ms. Alvarado,Asynchronous,2,Spring2027,00:00
5117,30,CS671,0,00:00,Online,Mr. Harmon,Asynchronous,1,Fall2027,00:00
5118,30,CS671,0,16:45,Online,Dr. Reyes,"[""Thursday"",""Tuesday""]",2,Fall2027,15:00
5119,30,IS669,28,00:00,Online,Ms. Ortiz,Asynchronous,1,Fall2025,00:00
5120,30,IS669,23,00:00,Online,Dr. Reyes,Asynchronous,2,Fall2025,00:00
5121,30,IS669,12,00:00,Online,Ms. Ortiz,Asynchronous,1,Spring2026,00:00
5122,30,IS669,27,00:00,Online,Ms. Ortiz,Asynchronous,1,Fall2026,00:00
5123,30,IS669,0,20:30,Online,Ms. Ortiz,Monday,1,Spring2027,18:00
5124,30,IS669,0,00:00,Online,Dr. Mendez,Asynchronous,2,Spring2027,00:00
5125,30,IS669,0,00:00,Online,Ms. Ortiz,Asynchronous,1,Fall2027,00:00
5126,30,IS669,0,14:30,Online,Dr. Mendez,"[""Friday"",""Wednesday""]",2,Fall2027,12:00
5127,30,IS669,0,00:00,Online,Mr. Osei,Asynchronous,1,Spring2028,00:00
5128,30,ECO653,24,00:00,Online,Dr. Petrova,Asynchronous,1,Fall2025,00:00
5129,30,ECO653,22,00:00,Online,Dr. Petrova,Asynchronous,1,Spring2026,00:00
5130,30,ECO653,22,20:30,Hybrid,Ms. Larkin,Wednesday,1,Fall2026,18:00
5131,30,ECO653,0,16:45,Online,Dr. Petrova,"[""Thursday"",""Tuesday""]",1,Spring2027,15:00
5132,30,ECO653,0,14:30,Online,Ms. Larkin,"[""Friday"",""Wednesday""]",1,Fall2027,12:00
5133,30,ECO653,0,16:45,Online,Mrs. Doyle,"[""Thursday"",""Tuesday""]",2,Fall2027,15:00
5134,30,ECO653,0,20:00,Hybrid,Ms. Larkin,Tuesday,1,Spring2028,17:30
5135,30,ECO653,0,00:00,Online,Mrs. Doyle,Asynchronous,2,Spring2028,00:00
5136,30,CS660,27,00:00,Online,Dr. Lindqvist,Asynchronous,1,Fall2024,00:00
5137,30,CS660,22,16:45,Online,Dr. Petrova,"[""Thursday"",""Tuesday""]",1,Fall2025,15:00
5138,30,CS660,19,14:30,Online,Mr. Foster,"[""Friday"",""Wednesday""]",2,Fall2025,12:00
5139,30,CS660,26,17:00,In Person,Dr. Petrova,Wednesday,1,Spring2026,19:30
5140,30,CS660,12,20:30,Hybrid,Dr. Petrova,Monday,1,Fall2026,18:00
5141,30,CS660,0,20:30,Hybrid,Dr. Lindqvist,Monday,1,Fall2027,18:00
5142,30,CS660,0,00:00,Online,Mr. Foster,Asynchronous,2,Fall2027,00:00
5143,30,CS660,0,20:30,Online,Dr. Lindqvist,Monday,1,Spring2028,18:00
5144,30,CS660,0,00:00,Online,Dr. Delgado,Asynchronous,2,Spring2028,00:00
5145,30,CS673,28,00:00,Online,Ms. Rahman,Asynchronous,1,Fall2024,00:00
5146,30,CS673,23,00:00,Online,Ms. Alvarado,Asynchronous,1,Spring2025,00:00
5147,30,CS673,9,00:00,Online,Mr. Prescott,Asynchronous,2,Spring2025,00:00
5148,30,CS673,8,00:00,Online,Ms. Rahman,Asynchronous,1,Fall2025,00:00
5149,30,CS673,24,00:00,Online,Ms. Alvarado,Asynchronous,1,Spring2026,00:00
5150,30,CS673,21,00:00,Online,Ms. Alvarado,Asynchronous,1,Fall2026,00:00
5151,30,CS673,0,20:30,Online,Ms. Rahman,Monday,1,Spring2028,18:00
5152,30,CS667,8,14:30,Online,Mr. Callahan,"[""Friday"",""Wednesday""]",1,Fall2024,12:00
5153,30,CS667,19,00:00,Online,Dr. Nguyen,Asynchronous,2,Fall2024,00:00
5154,30,CS667,21,14:30,Online,Mr. Callahan,"[""Friday"",""Wednesday""]",1,Fall2025,12:00
5155,30,CS667,25,20:30,Online,Mr. Foster,Monday,1,Spring2026,18:00
5156,30,CS667,9,00:00,Online,Dr. Nguyen,Asynchronous,2,Spring2026,00:00
5157,30,CS667,24,00:00,Online,Mr. Foster,Asynchronous,1,Fall2026,00:00
5158,30,CS667,0,00:00,Online,Mr. Callahan,Asynchronous,1,Fall2027,00:00
5159,30,CS667,0,20:00,Hybrid,Mr. Callahan,Tuesday,1,Spring2028,17:30
5160,30,CS667,0,00:00,Online,Dr. Nguyen,Asynchronous,2,Spring2028,00:00
5161,30,CS619,9,20:30,Hybrid,Dr. Bennett,Monday,1,Fall2025,18:00
5162,30,CS619,13,16:45,Online,Ms. Ortiz,"[""Thursday"",""Tuesday""]",2,Fall2025,15:00
5163,30,CS619,22,16:45,Online,Dr. Bennett,"[""Thursday"",""Tuesday""]",1,Spring2026,15:00
5164,30,CS619,17,14:30,Online,Mr. Harmon,"[""Friday"",""Wednesday""]",1,Fall2026,12:00
5165,30,CS619,19,17:00,In Person,Ms. Larkin,Wednesday,2,Fall2026,19:30
5166,30,CS619,0,00:00,Online,Dr. Bennett,Asynchronous,1,Spring2027,00:00
5167,30,CS619,0,00:00,Online,Ms. Larkin,Asynchronous,2,Spring2027,00:00
5168,30,CS619,0,20:30,Online,Dr. Bennett,Monday,1,Fall2027,18:00
5169,30,CS619,0,14:30,Online,Dr. Bennett,"[""Friday"",""Wednesday""]",1,Spring2028,12:00
5170,30,CS601C,11,00:00,Online,Dr. Bennett,Asynchronous,1,Spring2025,00:00
5171,30,CS601C,12,14:30,Online,Dr. Bennett,"[""Friday"",""Wednesday""]",1,Fall2026,12:00
5172,30,CS601C,0,20:30,Hybrid,Dr. Mendez,Monday,1,Spring2027,18:00
5173,30,CS601C,0,00:00,Online,Ms. Larkin,Asynchronous,2,Spring2027,00:00
5174,30,CS601C,0,00:00,Online,Dr. Mendez,Asynchronous,1,Spring2028,00:00
5175,30,CYB613,11,00:00,Online,Mr. Foster,Asynchronous,1,Fall2026,00:00
5176,30,CYB613,18,20:30,Online,Dr. Delgado,Monday,2,Fall2026,18:00
5177,30,CYB613,0,00:00,Online,Mr. Foster,Asynchronous,1,Spring2027,00:00
5178,30,CYB613,0,20:00,Hybrid,Mr. Foster,Tuesday,1,Fall2027,17:30
5179,30,CYB613,0,17:00,In Person,Mr. Foster,Wednesday,1,Spring2028,19:30
5180,30,CYB651,6,00:00,Online,Dr. Reyes,Asynchronous,1,Fall2024,00:00
5181,30,CYB651,13,00:00,Online,Dr. Reyes,Asynchronous,1,Fall2025,00:00
5182,30,CYB651,18,20:30,Hybrid,Dr. Reyes,Monday,1,Spring2026,18:00
5183,30,CYB651,9,14:30,Online,Dr. Petrova,"[""Friday"",""Wednesday""]",2,Spring2026,12:00
5184,30,CYB651,23,00:00,Online,Ms. Ferreira,Asynchronous,1,Fall2026,00:00
5185,30,IS612,6,00:00,Online,Mrs. Novak,Asynchronous,1,Spring2025,00:00
5186,30,IS612,7,00:00,Online,Mrs. Novak,Asynchronous,1,Spring2026,00:00
5187,30,IS612,17,16:45,Online,Mrs. Novak,"[""Thursday"",""Tuesday""]",2,Spring2026,15:00
5188,30,IS612,23,20:30,Hybrid,Mrs. Novak,Wednesday,1,Fall2026,18:00
5189,30,IS612,0,16:45,Online,Mr. Prescott,"[""Thursday"",""Tuesday""]",1,Fall2027,15:00
5190,30,IS612,0,16:45,Online,Ms. Rahman,"[""Thursday"",""Tuesday""]",2,Fall2027,15:00
5191,30,CYS611,19,00:00,Online,Ms. Alvarado,Asynchronous,1,Fall2024,00:00
5192,30,CYS611,5,14:30,Online,Dr. Adeyemi,"[""Friday"",""Wednesday""]",1,Spring2026,12:00
5193,30,CYS611,0,17:00,In Person,Dr. Adeyemi,Wednesday,1,Fall2027,19:30
5194,30,CYS611,0,00:00,Online,Ms. Alvarado,Asynchronous,1,Spring2028,00:00
5195,30,CYB621,24,00:00,Online,Dr. Okafor,Asynchronous,1,Spring2026,00:00
5196,30,CYB621,26,20:30,Hybrid,Mrs. Doyle,Monday,1,Fall2026,18:00
5197,30,CYB621,26,20:30,Hybrid,Mr. Prescott,Monday,2,Fall2026,18:00
5198,30,CYB621,0,20:00,Hybrid,Dr. Okafor,Tuesday,1,Spring2027,17:30
5199,30,CYB621,0,00:00,Online,Mrs. Doyle,Asynchronous,1,Fall2027,00:00
5200,30,IT664,21,00:00,Online,Dr. Adeyemi,Asynchronous,1,Fall2024,00:00
5201,30,IT664,7,20:30,Online,Dr. Nguyen,Monday,2,Fall2024,18:00
5202,30,IT664,5,20:00,Hybrid,Mr. Foster,Tuesday,1,Spring2026,17:30
5203,30,IT664,25,00:00,Online,Dr. Nguyen,Asynchronous,2,Spring2026,00:00
5204,30,IT664,0,00:00,Online,Dr. Adeyemi,Asynchronous,1,Spring2027,00:00
5205,30,IT664,0,20:30,Online,Dr. Okafor,Monday,2,Spring2027,18:00
5206,30,IT664,0,00:00,Online,Mr. Foster,Asynchronous,1,Fall2027,00:00
5207,30,IT664,0,20:30,Online,Dr. Okafor,Monday,2,Fall2027,18:00
5208,30,IS647,16,20:30,Hybrid,Mr. Osei,Wednesday,1,Fall2026,18:00
5209,30,IS647,0,00:00,Online,Mr. Osei,Asynchronous,1,Spring2027,00:00
5210,30,IS647,0,20:30,Online,Mrs. Novak,Monday,1,Fall2027,18:00
5211,30,IS647,0,14:30,Online,Mr. Osei,"[""Friday"",""Wednesday""]",1,Spring2028,12:00
5212,30,IS647,0,20:00,Hybrid,Mr. Prescott,Tuesday,2,Spring2028,17:30
5213,30,IS613,13,00:00,Online,Ms. Ortiz,Asynchronous,1,Spring2026,00:00
5214,30,IS613,17,00:00,Online,Dr. Nguyen,Asynchronous,2,Spring2026,00:00
5215,30,IS613,11,20:00,Hybrid,Ms. Ortiz,Tuesday,1,Fall2026,17:30
5216,30,IS613,16,20:30,Hybrid,Mrs. Novak,Monday,2,Fall2026,18:00
5217,30,IS613,0,20:30,Hybrid,Ms. Ortiz,Monday,1,Spring2027,18:00
5218,30,IS613,0,16:45,Online,Dr. Sinclair,"[""Thursday"",""Tuesday""]",1,Spring2028,15:00
5219,30,IS632,5,20:30,Online,Dr. Adeyemi,Monday,1,Spring2025,18:00
5220,30,IS632,23,17:00,In Person,Ms. Alvarado,Wednesday,1,Spring2026,19:30
5221,30,IS632,24,00:00,Online,Ms. Alvarado,Asynchronous,1,Fall2026,00:00
5222,30,IS632,18,00:00,Online,Mr. Prescott,Asynchronous,2,Fall2026,00:00
5223,30,IS632,0,20:30,Online,Dr. Adeyemi,Monday,1,Spring2028,18:00
5224,30,IS632,0,20:30,Hybrid,Ms. Alvarado,Wednesday,2,Spring2028,18:00
5225,30,SE785,16,00:00,Online,Dr. Petrova,Asynchronous,1,Spring2025,00:00
5226,30,SE785,24,00:00,Online,Dr. Bianchi,Asynchronous,2,Spring2025,00:00
5227,30,SE785,21,20:00,Hybrid,Dr. Bennett,Tuesday,1,Fall2025,17:30
5228,30,SE785,27,00:00,Online,Dr. Bennett,Asynchronous,1,Spring2026,00:00
5229,30,SE785,0,00:00,Online,Dr. Bennett,Asynchronous,1,Spring2027,00:00
5230,30,SE785,0,00:00,Online,Dr. Petrova,Asynchronous,1,Fall2027,00:00
5231,30,SE785,0,16:45,Online,Dr. Bianchi,"[""Thursday"",""Tuesday""]",2,Fall2027,15:00
5232,30,SE785,0,20:00,Hybrid,Dr. Bennett,Tuesday,1,Spring2028,17:30
5233,30,SE765,19,16:45,Online,Ms. Rahman,"[""Thursday"",""Tuesday""]",1,Fall2024,15:00
5234,30,SE765,30,14:30,Online,Ms. Rahman,"[""Friday"",""Wednesday""]",1,Fall2025,12:00
5235,30,SE765,26,20:30,Hybrid,Mrs. Doyle,Monday,1,Spring2026,18:00
5236,30,SE765,7,00:00,Online,Dr. Okafor,Asynchronous,2,Spring2026,00:00
5237,30,SE765,0,14:30,Online,Ms. Rahman,"[""Friday"",""Wednesday""]",1,Spring2027,12:00
5238,30,SE765,0,00:00,Online,Dr. Petrova,Asynchronous,2,Spring2027,00:00
5239,30,SE765,0,00:00,Online,Ms. Rahman,Asynchronous,1,Fall2027,00:00
5240,30,SE765,0,20:30,Hybrid,Ms. Rahman,Monday,1,Spring2028,18:00
5241,30,SE765,0,00:00,Online,Dr. Petrova,Asynchronous,2,Spring2028,00:00
5242,30,SE675,29,00:00,Online,Ms. Larkin,Asynchronous,1,Fall2024,00:00
5243,30,SE675,12,20:30,Hybrid,Dr. Cole,Wednesday,1,Spring2025,18:00
5244,30,SE675,6,00:00,Online,Ms. Ortiz,Asynchronous,2,Spring2025,00:00
5245,30,SE675,19,20:30,Hybrid,Ms. Larkin,Wednesday,1,Fall2025,18:00
5246,30,SE675,26,00:00,Online,Ms. Ortiz,Asynchronous,2,Fall2025,00:00
5247,30,SE675,29,20:30,Online,Dr. Cole,Monday,1,Fall2026,18:00
5248,30,SE675,0,16:45,Online,Dr. Cole,"[""Thursday"",""Tuesday""]",1,Spring2027,15:00
5249,30,SE675,0,20:00,Hybrid,Ms. Ortiz,Tuesday,2,Spring2027,17:30
5250,30,SE675,0,14:30,Online,Dr. Cole,"[""Friday"",""Wednesday""]",1,Spring2028,12:00
5251,30,SE675,0,00:00,Online,Mr. Harmon,Asynchronous,2,Spring2028,00:00
5252,30,SE751,13,00:00,Online,Dr. Sinclair,Asynchronous,1,Fall2024,00:00
5253,30,SE751,12,00:00,Online,Mr. Osei,Asynchronous,2,Fall2024,00:00
5254,30,SE751,9,00:00,Online,Dr. Sinclair,Asynchronous,1,Spring2025,00:00
5255,30,SE751,27,00:00,Online,Dr. Sinclair,Asynchronous,1,Fall2025,00:00
5256,30,SE751,22,00:00,Online,Dr. Cole,Asynchronous,1,Spring2026,00:00
5257,30,SE751,0,00:00,Online,Dr. Cole,Asynchronous,1,Spring2027,00:00
5258,30,SE751,0,20:30,Hybrid,Dr. Sinclair,Monday,1,Spring2028,18:00
5259,30,SE679,18,00:00,Online,Dr. Nguyen,Asynchronous,1,Fall2024,00:00
5260,30,SE679,20,14:30,Online,Ms. Larkin,"[""Friday"",""Wednesday""]",1,Spring2025,12:00
5261,30,SE679,17,00:00,Online,Ms. Larkin,Asynchronous,1,Fall2025,00:00
5262,30,SE679,28,14:30,Online,Dr. Nguyen,"[""Friday"",""Wednesday""]",1,Fall2026,12:00
5263,30,SE679,0,00:00,Online,Ms. Larkin,Asynchronous,1,Spring2027,00:00
5264,30,SE679,0,20:30,Online,Dr. Nguyen,Monday,1,Spring2028,18:00
5265,30,SE679,0,16:45,Online,Ms. Alvarado,"[""Thursday"",""Tuesday""]",2,Spring2028,15:00
5266,30,SE673,6,20:00,Hybrid,Ms. Larkin,Tuesday,1,Fall2024,17:30
5267,30,SE673,15,00:00,Online,Dr. Okafor,Asynchronous,1,Fall2025,00:00
5268,30,SE673,29,20:30,Hybrid,Dr. Okafor,Wednesday,1,Spring2026,18:00
5269,30,SE673,20,00:00,Online,Ms. Larkin,Asynchronous,1,Fall2026,00:00
5270,30,SE673,16,00:00,Online,Ms. Ortiz,Asynchronous,2,Fall2026,00:00
5271,30,SE673,0,00:00,Online,Ms. Larkin,Asynchronous,1,Fall2027,00:00
5272,30,SE673,0,14:30,In Person,Ms. Larkin,Wednesday,1,Spring2028,12:00
5273,30,SE673,0,20:00,Hybrid,Ms. Ortiz,Tuesday,2,Spring2028,17:30
5274,30,SE725,19,00:00,Online,Mr. Callahan,Asynchronous,1,Fall2024,00:00
5275,30,SE725,24,20:30,Hybrid,Mr. Callahan,Monday,1,Fall2025,18:00
5276,30,SE725,29,16:45,Online,Dr. Reyes,"[""Thursday"",""Tuesday""]",2,Fall2025,15:00
5277,30,SE725,23,14:30,In Person,Mr. Callahan,Wednesday,1,Fall2026,12:00
5278,30,SE725,23,00:00,Online,Mr. Foster,Asynchronous,2,Fall2026,00:00
5279,30,SE725,0,14:30,In Person,Ms. Rahman,Wednesday,1,Spring2027,12:00
5280,30,SE725,0,14:30,In Person,Dr. Reyes,Wednesday,2,Spring2027,12:00
5281,30,SE725,0,14:30,Online,Mr. Callahan,"[""Friday"",""Wednesday""]",1,Fall2027,12:00
5282,30,SE725,0,20:30,Hybrid,Mr. Callahan,Monday,1,Spring2028,18:00
5283,30,IS679,0,00:00,Online,Dr. Bennett,Asynchronous,1,Fall2027,00:00
